There are total 10 supported mouse buttons
Allegro5 initialized
Game begin
resized image: Fuiyoh_flipped.jpg
resized image: main-bg.jpg
Change scene from 0 to 1
Game initialized
Game start event loop
Key with keycode 67 down
Change scene from 1 to 2
resized image: background.png
resized image: gordon-ramsey.png
Key with keycode 67 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 19 down
Key with keycode 19 up
Key with keycode 75 down
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 23 down
Key with keycode 4 up
Key with keycode 23 up
Key with keycode 23 down
Key with keycode 23 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 19 down
Key with keycode 1 up
Key with keycode 19 up
Key with keycode 1 down
Key with keycode 19 down
Key with keycode 19 up
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 19 down
Key with keycode 1 up
Key with keycode 19 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 19 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 19 up
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 19 down
Key with keycode 19 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 19 down
Key with keycode 4 down
Key with keycode 19 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 23 down
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 23 up
Key with keycode 75 up
Key with keycode 4 down
Key with keycode 75 down
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 1 up
Key with keycode 19 down
Key with keycode 4 down
Key with keycode 19 up
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 19 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 19 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 23 down
Key with keycode 4 down
Key with keycode 23 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 19 down
Key with keycode 19 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 23 down
Key with keycode 23 up
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 19 down
Key with keycode 4 down
Key with keycode 19 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 23 down
Key with keycode 23 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 19 down
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 19 up
Key with keycode 23 down
Key with keycode 23 up
Key with keycode 4 up
Key with keycode 19 down
Key with keycode 4 down
Key with keycode 19 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 23 down
Key with keycode 23 up
Key with keycode 4 up
Key with keycode 215 down
Key with keycode 215 up
Key with keycode 4 down
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 19 down
Key with keycode 4 up
Key with keycode 19 up
Key with keycode 4 down
Key with keycode 75 up
Key with keycode 1 down
Key with keycode 23 down
Key with keycode 4 up
Key with keycode 1 up
Key with keycode 75 down
Key with keycode 23 up
Key with keycode 4 down
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 19 down
Key with keycode 19 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 19 down
Key with keycode 4 up
Key with keycode 19 up
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 1 up
Key with keycode 23 down
Key with keycode 4 down
Key with keycode 23 up
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 23 down
Key with keycode 4 up
Key with keycode 23 up
Key with keycode 4 down
Key with keycode 1 down
Key with keycode 4 up
Key with keycode 23 down
Key with keycode 1 up
Key with keycode 4 down
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 23 up
Key with keycode 19 down
Key with keycode 1 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 19 up
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 4 down
Key with keycode 1 up
Key with keycode 4 up
Key with keycode 1 down
Key with keycode 1 up
Key with keycode 4 down
