侯友宜81到高雄助選 李眉蓁：會去掃街走訪夜市拜票,新北市長侯友宜後天（8月1日）將到高雄為國民黨高雄市長補選候選人李眉蓁助選，李眉蓁今天表示非常感謝侯友宜百忙之中到高雄來陪她掃街，當天侯也會與她一起走訪夜市，侯也想吃吃高雄的夜市小吃。高雄市選委會後天舉辦高雄市長補選候選人電視政見發表會，李眉蓁表示，現在高雄負債多，她會加強在閒置土地開發、開源節流和財劃法的修法等事項上。經歷論文涉抄襲風波，李眉蓁全力為8月15日的補選投票衝刺，國民黨也全力為她助選，主席江啟臣、前主席朱立倫、洪秀柱、立法院前院長王金平都為她站台。侯友宜確定8月1日南下，李眉蓁總部也排好掃街、訪夜市的行程，李眉蓁今天受訪時表達對侯友宜的感謝之意。李眉蓁前天上電視節目時，桃園市議員王浩宇故意問她高雄市的最南、最北行政區，李未答對，昨天媒體拿同樣的問題問民進黨高雄市長補選候選人陳其邁，陳答對最北的是桃源區，但最南答說是林園區，李眉蓁團隊找資料查出最南是旗津區中興里，因為中興里的範圍包括南沙群島的太平島。李眉蓁今天表示，她覺得不應在治理城市和知道東南西北這樣事的問題上執著，台中市前市長林佳龍（現任交通部長）也不知道台中市最南是最南是在霧峰，以為是在烏日，這也不見得說林就不是一位好市長。關於高雄市的失業率，網路社群「Wecare高雄」貼文酸前市長韓國瑜主政時高雄較高。李眉蓁說，後疫情時期失業率增高，大家都了解，所以現在有振興經濟和三倍券；據她了解，韓國瑜上任以來高雄的失業率和以前比較，反而是比較低的。 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
李眉蓁高雄地理問題答錯 陳其邁：這基本常識,▼問答內容在14分40秒處民進黨高雄市長補選參選人陳其邁今天說，國民黨對手李眉蓁答錯高雄地理問題，可能是對原縣區不太熟，這是基本常識，建議她多跑、要加油；前高雄市長韓國瑜跑得都比她勤快。李眉蓁稍早錄製YAHOO鄉民大會直播節目，面對民進黨桃園市議員王浩宇提問高雄最北、最南、人口最多及最少的行政區在哪，以及高雄青年失業率問題，李眉蓁不斷答錯。李眉蓁競總發言人呂謦煒回應媒體表示，重點應該擺在高雄未來發展，而不是查維基百科就能知道的事；高雄人不需要百科市長，是要真正土生土長，且能提出真正高雄人關心政見的候選人。陳其邁下午接受聯訪表示，高雄各行政區地理位置是基本常識，李眉蓁答錯部分都是原縣區，可能她還沒跑完38個行政區比較不熟，建議她多跑跑，「真的是要加油啦」，韓國瑜跑高雄市都比李眉蓁更勤快。針對補選鎖定「拉高投票率」，陳其邁說，要讓大家關注這場補選，從民調上看蠻緊張的，擔心投票率因補選而拉不高，而對手投票率高，但支持者放鬆不投票，就會影響投票結果。目標設定在拉高投票率。對於7月31日高雄市議會議長選舉上，陳其邁回應基於議會自主，要由議會黨團自己決定，也尊重議會民主機制，自己沒參與，不清楚運作情形。對於南部地區多個環團今天稍早記者會提及「陳其邁環境政策比民眾黨對手吳益政少」，陳其邁表示，會以聯合國「永續發展目標」擬定環境保育及生態永續政策，並提到昨天參加學生論壇時有談到如何管制空汙，會要求中油、中鋼等國營企業做調整，在產業發展與環保間取得平衡。國民黨高雄市長候選人李眉蓁（中）今上台北參加網路直播節目，為選舉「空戰」努力。圖／李眉蓁競選團隊提供 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
被問高雄地理知識屢答錯 李眉蓁：沒事先告知問題,▼問答內容在14分40秒處國民黨高雄市長補選參選人李眉蓁今天北上錄製節目，在回答來賓有關高雄小學堂時不斷答錯，李眉蓁表示，沒事先告訴她問題，因此才沒答對，但她在高雄長大，知道高雄需要什麼。李眉蓁今天北上錄製「YAHOO鄉民大會直播」，與主持人郭子乾、國民黨副秘書長謝龍介及民進黨桃園市議員王浩宇等同台。在節目上，王浩宇以高雄小學堂考李眉蓁，高雄最北、最南、人口最多及最少的行政區，李眉蓁不斷答錯；她隨後反問王浩宇，桃園有幾間廟，王浩宇回答「這問題太複雜」、「不能問這麼複雜的問題」。對於答錯問題，李眉蓁說，沒事先告知她問題，所以她沒答對，但她知道「高雄人想要的是什麼」，別像之前用很細的問題質詢前高雄市長韓國瑜，她從小在高雄長大，知道高雄需要「陽光、空氣、水」的優良生活。李眉蓁會後接受媒體聯訪則說，王浩宇查過資料才問她這些問題，她後來反問他，王浩宇也答不出來，他問這麼細，覺得「有點故意」。對於論文案只讓民調略微下降，李眉蓁強調自己會繼續努力，相信藍軍大團結會展現出來，並會加強提升補選投票率，把需要的主軸展現出來，只要有票，不分老少都很重要，每個區塊都是她要努力爭取的。針對民進黨前市議員連立堅在圍棋比賽上拉票，李眉蓁說，連立堅在公開場合說自己是陳其邁競選總部的副總幹事，但陳其邁總部馬上切割。她認為，應出來面對，第一時間道歉，而不是快刀斬亂麻。 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
影／王浩宇考問高雄地理 李眉蓁反問：桃園有幾間廟？,國民黨高雄市長補選候選人李眉蓁今上YAHOO「鄉民大會」直播節目，被桃園市議員王浩宇考問高雄地理環境及青年失業率數據，沒答對後，被王酸不解國民黨為何提名她。李眉蓁反擊問他桃園有多少廟宇，王則說不能問太複雜問題，引發網友議論。今中午YAHOO「鄉民大會」由郭子乾扮演的韓國瑜當主持人，邀李眉蓁、王浩宇及國民黨副秘書長、台南市議員謝龍介和媒體人黃暐瀚、民眾黨公關事務長吳怡萱等人上節目，談高雄市長補選等議題。李眉蓁說，沒想到最近受到這麼多關注，但這兩天出去跑，給她鼓勵、加油的聲音變多了，讓她有鬥志繼續往前衝，選情也倒吃甘蔗。謝龍介批評行政院長開選舉支票要給陳其邁4千億高雄建設經費，「吹牛不用繳稅金，也不用負責、下台」。王浩宇則在節目中考問李眉蓁高雄最北、最南、人口最多的行政區及青年失業率數據等，李眉蓁沒答對後，王酸她對地理環境不了解，如何當市長，不解國民黨為何選她參選。李眉蓁反擊說，問題太細，她可能沒答對，但她從小高雄長大，知道高雄要的是什麼，而不是哪裡最北、最南，她知道在民進黨執政2、30年後，高雄人還再買水，空汙也沒改善。郭子乾也緩頰說，這樣問答，「維基百科就可以當市長了」。李眉蓁並反問王浩宇，「你是桃園議員，那我請問桃園有幾間廟？」沒料到被這樣問的王浩宇說，「這問題太複雜，你不能問這個問題，太複雜，問幾區我知道」。王並指是國民黨把石化業放在高雄。謝龍介反批是民進黨錯誤的林園政策，且高雄已民進黨執政多年，不要再叫國民黨負責。李眉蓁也問，為何民進黨執政20年不改變？王則答說，20年民進黨長期有在關心空氣、水的問題。黃暐瀚說，王浩宇有激怒人的本事，但替李眉蓁拉了不少票。這段問答也引起直播線上網友熱議，網友說，「桃園有登革熱、新冠肺炎可疑傳染，你是桃園議員，做了什麼？」、「請記得王浩宇如何問問題，以後他選市長，記得問他垃圾問題」、「罷免票又拉了不少」、「中壢人罷起來」，但也有人批國民黨選不贏市長，也要賺選舉補助款。談到選情，黃暐瀚說，李眉蓁要贏陳其邁很困難，要先想怎麼守住30%基本盤，再努力往上追。吳怡萱說，選前大利多，只有執政黨才拋得出來。吳怡萱還說，民進黨塑造形象的本事一等一，總統蔡英文說陳其邁不一樣了，她贊同，因為陳其邁從過去立委剽悍罵「我是你爸爸」風格已看不到，變成愛貓大暖男，這是選舉操作，塑造形象這點要跟民進黨多學習。李眉蓁說，她比陳其邁優秀，選陳其邁就是選民進黨，連基本的陽光、空氣、水都做不到，給民進黨執政這麼久，高雄水仍不好、還要買水，負債3千億，接連選舉3次，寧願花錢在選舉上，不把錢拿來用於惠民政策；她是高雄人，最清楚高雄人要的是什麼。 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
影片會說話！羅智強爆：連立堅拿市府補助為陳其邁輔選,國民黨革實院院長羅智強在臉書爆料一段影片，指高雄市體育會圍棋委員會主委連立堅在高雄市政府補助的「打狗盃圍棋錦標賽」上幫民進黨高雄市長補選候選人陳其邁輔選，甚至還暗示「陳其邁當選，以後補助會更多」，這難道不算是期約賄選？羅智強公布當天活動影片，連立堅在現場表示，「這一次的補選，我也在陳其邁裡面擔任副總幹事，如果主任委員跟市長的關係很密切，當然以後支持圍棋運動的力道，就會加大、加深。在這樣特殊的默契，特殊的承諾之下、會對圍棋運動，有很大的幫助，所以在這邊，我在這邊也跟大家拜託，希望大家能夠支持陳其邁」。羅智強指出，連立堅是民進黨籍的前市議員、陳其邁2018的律師團成員以及黨產會前委員，也是民進黨的「反賄選抓鬼大隊長」。結果這位反賄選的大律師卻公然的行政不中立，拿市府補助的活動，去幫陳其邁強迫推銷。羅智強表示，民進黨高雄市議員高閔琳的辯護更是可笑，高閔琳說，「連立堅並非陳其邁競選團隊的成員」，所以不算賄選。但連立堅都公開承認，他是陳其邁的「副總幹事」了，難道副總幹事不算競選團隊的成員。羅智強感嘆，前市長韓國瑜執政時，補助不分黨派，就算是連立堅這樣跟陳其邁友好的人，他的圍棋協會的比賽，照樣補助，可是民進黨的作為是怎麼樣呢？是拿納稅人的錢，來為自己輔選，這樣的作風，對的起高雄鄉親嗎？ 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
高市長補選 3人教育政見過招,高雄市教師職業工會昨天舉行高雄市長補選候選人教育政見說明會，端出政見牛肉過招，爭取教育界票源。國民黨李眉蓁、民眾黨吳益政都支持滿天星計畫，雙機、雙語也要繼續推動，兩人也握手互相打氣。民進黨陳其邁昨參加「數位國力－人才循環大聯盟」南部場產業交流座談，他表示已事前拜訪工會，並提出6大教育政策。高雄市教師職業工會理事長于居正說，工會在「2020教育政策」提出6項訴求，包括：全面安裝中小學教室冷氣，電費由政府支應；給足代理教師一年完整聘期；足額補助40歲以上教職員健康檢查；生教組長業務過度繁重，應增編人力協辦；依法設置公校附幼主任職務，維護幼生受教權益；降低特教資源班生師比，維護特教生權益。首先發表的吳益政表示，教育是城市與國家的基石，尤其應重視環境教育與公民教育。他憂心社會愈來愈對立，人民獨立思考訓練不夠，文明國家不只追求經濟成長，要重視公民教育的深度。國際化也非常重要，要持續推動雙語教育。吳益政說，全力支持「滿天星」計畫，不全然是前市長韓國瑜的滿天星構想，是協助學生在適當時機出國，還有公務人員的再教育，例如推動自行車政策，現地考察一趟後，法規、設計一次到位，是便宜又實際的投資，應鼓勵公務人員有目的考察，有助城市發展與轉型。李眉蓁表示，教育是百年大計、希望工程，不像工程建設立竿見影，有些政治人物不願意做。她身為母親 ，關心教育，也擔心下一代競爭力。日本人形容「教育是最廉價的國防」，教育要從小扎根，也與世界接軌。李眉蓁說，工會提出的訴求，必須覓得財源來解決，如「全面安裝中小學冷氣，電費由政府支持」訴求，韓市長任內推動雙機政策，她會持續進行。高雄裝機需要22.8億經費，除既有的教育經費外，需要募款或向中央爭取經費。民進黨高雄市長補選候選人陳其邁（左）昨天參加數位國力座談會，與副總統賴清德（右）同台。記者劉學聖／攝影陳其邁書面提出六大教育政策，包括「數位拉近城鄉」、「連結社區大學及空中大學教學資源」、「多語學習提升國際移動力」、「教學優化」、「兩年內國中小班班有冷氣」、「技職教育再升級」。陳其邁昨出席「數位國力－人才循環大聯盟」南部場產業交流座談，與副總統賴清德等人同台。陳其邁說，台灣防疫應用大數據等軟實力，是展現數位國力的實例，城市治理上，透過數位力量能加速產業轉型，讓年輕人有更好就業機會。被問近期是否有幫陳其邁輔選計畫，賴清德說「會有安排」，陳還賣關子，「我們會有秘密武器」。 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
陳其邁提6大教育政見 培育高雄優秀人才,民進黨高雄市長補選參選人陳其邁今天提出6大教育政見，透過數位拉近城鄉、連結社區大學及高雄市空中大學的教學資源等，以教育資源平權、培育人才及在地國際化，達到適性發展。陳其邁今天出席由美國在台協會、立法院及經濟部聯合舉辦數位國力論壇等活動，未出席高雄市教師職業工會舉辦的教育政見說明會，不過他仍公布教育政見，含6大策略提升高雄教育實力。陳其邁的6大教育策略，包含透過「數位拉近城鄉」、「連結社區大學及高雄市空中大學之教學資源，完善終身學習教育資源網」、「多語學習，提升國際移動力」、「教學優化」、「智慧永續校園－兩年內國中小班班有冷氣」、「技職教育再升級」。此外，要全面提升高雄教育實力，藉教育資源平權、培育優秀人才、在地國際化並讓高雄子弟適性發展，也有對鄉土認同以及與國際接軌的能量。前高雄市長韓國瑜任內曾經推動，鼓勵大學生出國進修的「滿天星計畫」。陳其邁指出，高市府相關的教育基金在韓國瑜任內剩不到新台幣4億元，在考量資源配置及照顧高雄在地學生的前提下，主張教育基金應優先用於擴大辦理雙語教學、補助年輕人參加國際比賽、國際會議、短期參訪及改善偏鄉數位落差等。「數位拉近城鄉」的具體作法是善用線上學習資源，減少教學負擔。「多語學習，提升國際移動力」則是英語沉浸式校園、南向語言傳承及國際教育。「教學優化」要成立跨領域或跨校教師專業學習社群。「智慧永續校園－兩年內國中小班班有雙機」是改善校園電力系統，結合綠建築、太陽能光電等設施。「技職教育再升級」是職業探索、興趣學習並導向實務，靈活教學、技職再生。陳其邁談到配合總統蔡英文「0-6歲，國家一起養」的托育政策，未來將增加公托、公幼班數及增加非營利幼兒園等，減輕父母的照顧責任，並以平價優化托育服務。針對國中小全面裝設冷氣，陳其邁說，他於2018年有提出，當選後將加速改善學校電力系統與裝設進度，電費將爭取中央補助並搭配以租賃取代買斷，減少初期設置成本等方式落實；這次參選也承諾「班班有冷氣」。 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
韓國瑜的下一步怎麼走？ 張麗善：聚餐沒聊政治話題,雲林縣長張麗善日前與前高雄市長韓國瑜在雲林餐敘，對於曾一度傳出想延攬韓國瑜擔任雲林縣政顧問一事，張麗善今天接受媒體訪問時表示，她想延攬韓國瑜的想法從未改變，但日前的聚會僅是「純吃飯聊天，紓解壓力」，並交流雙語教學意見，未談論其他事情。今年6月，張麗善曾說韓國瑜不僅是有能力的人，也是雲林女婿，想延攬他當縣政顧問，「人親土親」，有助於縣政發展，只是目前為止都還未見此事成行。張麗善今天上午出席雲林縣議會臨時會，會後受訪時說，她這個月和韓國瑜一家人聚餐，只有雙方家人出席，就像許久未見的老朋友般閒聊，也交換雙語教學意見，未再談及任何有關政治或選舉活動等事。張麗善說，韓國瑜是提得起、放得下的人，聚餐時感受他並沒有太多壓力，目前先讓他好好休息，沉澱一下，縣政顧問一事會再找機會和他討論，也會尊重他的決定。最近外傳韓國瑜要透過全台謝票為復出做準備，張麗善則是回應，應該只是「捕風捉影」。 ,blue
高雄4千億建設 蘇貞昌：有2千億是韓國瑜任期核定,對於高雄市新台幣4000億元建設及投資案，行政院長蘇貞昌今天說，台商回台投資超過上兆元，其中2000億元就在高雄，另外2000億元是前市長韓國瑜任期時，自己核定補助的。新北市長侯友宜日前表示「羨慕」高市獲行政院核定4000億元建設及投資案，議題持續多天，蘇貞昌今天到彰化縣立陽明國中視察老舊校舍改善及太陽能光電設置情形時，進一步說明內容。蘇貞昌表示，有人舉自己在高雄演講說「高雄4000億元」，其實應該聽清楚，同時不要錯誤傳遞消息，4000億元裡面，有2000億元是台商回台投資超過上兆的錢裡面，有2000億元就在高雄；另外的2000億元則是韓國瑜當高雄市長時，由他核定補助的。他強調，可見補助不分黨派，各地方積極爭取台商回台、外資投資，對地方也都有幫助，希望縣市長一起努力做得更好、更配合，中央也會儘量支持各方面資源；不過，資源總是有限，政府會儘量用在最急迫處，希望大家多體諒。蘇貞昌表示，縣市長都想做事，都嫌錢不夠，自己完全能體諒，因為他從台灣最南端的屏東縣長，當到最北端的台北縣長，很清楚縣市長的辛苦，縣市長都會抱怨錢不夠用，就好像「當家才知柴米貴」，不過，中央政府會從各方面補助。蘇貞昌指出，這些年來，其實補助地方的經費包括統籌分配稅款「這塊大餅」，都比過去增加，不過錢永遠都不夠，除看統籌分配稅款，還要看其他各項重大建設補助，例如學校裝冷氣，也是由中央補助7成、8成，甚至還有9成多。另外，對於公共電視影音平台爭議，蘇貞昌表示，所有國家都希望讓世界了解，所有國家也都希望能有很好發聲管道，若有個頻道讓世界看到台灣的好，就像這次疫情，大家都看到台灣的好、肯定、羨慕台灣。不過，蘇貞昌也說，至於公視應該怎樣做，尊重公視獨立性及內容，政府在這方面「懂得分際」，也希望大家一起努力，讓台灣的好被世界看見。 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
高雄教師工會辦候選人教育政見說明會 爭取教育界票源,高雄市教師職業工會今天舉行高雄市長補選候選人教育政見說明會，國民黨籍李眉蓁和民眾黨籍吳益政都支持滿天星計畫，雙機、雙語也要繼續推動，兩人並握手互相打氣。民進黨籍陳其邁今天因其他行程未出席說明會，已事前拜會工會，推動數位教學能消弭傳統教學裡的城鄉差距，持續接引中央，灌溉地方。高雄市教師職業工會理事長于居正表示，工會在「2020教育政策」提出6項訴求，包括：儘速全面安裝中小學教室冷氣，電費應由政府支應；給足代理教師一年完整聘期；依規定足額補助40歲以上教職員身體健康檢查；生教組長業務過度繁重，應增編人力協辦；依法設置公校附幼主任職務，維護幼生受教權益；降低特教資源班生師比，維護特教生受教權益。工會提供給候選人參考，希望得到支持。首先發表的吳益政表示，教育是城市與國家的基石，能找到經費最重要，尤其是環境教育與公民教育。社會愈來愈對立，人民獨立思考的訓練不夠，文明國家不是只在追求經濟成長，要重視公民教育的深度。國際化也非常重要，要持續推動雙語教育。吳益政說，全力支持「滿天星」計畫，但不全然是韓國瑜的滿天星，而是協助學生在適當時機出國，還有公務人員的再教育，像是自行車政策，講半天他們可能聽不懂，但去現地考察一次，回來後，法規、設計一次到位，這是便宜又很好的投資。他不同意陳其邁說浪費錢，應鼓勵公務人員有目的的考察，是對城市發展轉型非常重要的工作。李眉蓁表示，教育是百年大計、希望工程，不像工程建設一樣立竿見影，所以有些政治人物不願意做。但她身為母親 ，非常關心教育，也擔心國家未來孩子的競爭力。日本人形容「教育是最廉價的國防」，她擔心孩子變成井底之蛙，應該要從小扎根與國際競爭，與世界接軌。李眉蓁說，工會提出的訴求，歸根結底幾乎都是錢的問題，要覓得財源來解決。如「全面安裝中小學冷氣，電費由政府支持」訴求，韓市長任內已有推動雙機政策，她會持續進行。不過高雄裝機需要22.8億經費，除了既有的教育經費外，還需要募款或跟中央爭取經費。陳其邁今天提出六大教育政策，透過「數位拉近城鄉」、「連結社區大學及高雄市空中大學之教學資源，完善終身學習教育資源網」、「多語學習，提升國際移動力」、「教學優化」、「智慧永續校園—兩年內國中小班班有冷氣」、「技職教育再升級」，全面提升高雄教育實力，藉由教育資源平權、培育優秀人才、在地國際化，讓高雄子弟不只是適性發展，也有對鄉土的深刻認同以及與國際接軌的能量。關於滿天星計畫，陳其邁表示，此計畫為韓國瑜在2020年總統選舉時所提出，全國所需預算高達400億。而教育基金在韓市府任內，僅剩不到4億，在考量資源配置以及照顧高雄在地學生的前提下，教育基金應優先使用於擴大辦理雙語教學、補助年青人參加國際比賽、國際會議、 短期參訪、遊學等以及改善偏鄉數位落差。對於公務人員因業務需求赴國外考察及學習，未來當選後會大力支持。高雄市長補舉民眾黨籍候選人吳益政出席教師職業工會教育政見說明會，強調環境教育與公民教育的重要。記者劉學聖／攝影高雄市長補選國民黨籍候選人李眉蓁出席教師職業工會教育政見說明會，表示會持續推動滿天星與雙機、雙語政策。記者劉學聖／攝影 高雄市長補選   ▪參選人資料／藍綠政二代對決白橘混血議員 高雄市長補選3將比一比 ,blue
