故鄉中的故鄉 陳其邁三民區後援會成立,民進黨高雄市長候選人陳其邁，在三民區成立第五戰區後援總會。因為立委時期的服務處，就在三民區，是「故鄉中的故鄉」，也獲得民眾如親友般的熱烈支持。而前高雄縣長楊秋興，也認為陳其邁的歷練最夠，這次會把票，投給民進黨的陳其邁。回到故鄉中的故鄉三民區，陳其邁對這裡，當然如數家珍。和後援會的支持民眾，全猶如親友般的親暱，因為陳其邁在立委時期的服務處，就在這裡。對高雄的熟悉程度，不只鄉親們看在眼裡，連前高雄縣長楊秋興也說，國民黨的李眉蓁歷練實在不夠，他這次，會把票投給陳其邁。陳其邁說：「三民區等於是灶腳，綠廊帶的整建，跟南北交通的關節打通，也包括交通號誌的調整，我們都會全力的來讓，三民區生活品質能夠大幅度提升。」前高雄縣長楊秋興曾經為韓國瑜輔選，後來雙方反目，楊秋興還公開痛批，韓國瑜忘恩負義，過河拆橋，轉而支持罷韓。之後也說過，支持在地人當市長。這次強調陳其邁的歷練最夠，他選人不選黨，公開站出來支持。陳其邁回應，會努力爭取不分黨派的支持，李眉蓁只短回，尊重長輩。,green
王浩宇考高雄隨堂考 李眉蓁5題全答錯,高雄市長候選人李眉蓁上節目談政見，同為來賓的桃園市議員王浩宇玩起百萬小學堂，當場問李眉蓁，高雄最北的行政區是哪一區，李眉蓁支支吾吾答不出來，滿臉尷尬，也反問王浩宇，桃園有幾間廟，雙方火藥味濃厚，下了節目，李眉蓁再狂酸王浩宇，根本是故意找碴。藝人郭子乾搞笑模仿韓國瑜，找來李眉蓁上節目談政見，節目出現這個橋段，李眉蓁和來賓桃園市議員王浩宇槓上了。王浩宇當場玩起百萬小學堂，李眉蓁被考倒，一臉尷尬，王浩宇再出招，問到青年失業率李眉蓁一時答不出來，說不出具體數字，被王浩宇狂酸，基本題都不會還想選市長，主持人郭子乾趕緊緩頰，李眉蓁也不甘示弱反問王浩宇「那桃園市總共有幾間廟？」雙方挑起戰火，越講越激動，更延燒到發言人謝龍介身上。王浩宇說，「高雄市長的發言人謝龍介先生，就是台南市議員，你自己國民黨在不分區的時候，你批評別的政黨不分區」碰到敏感問題，謝龍介被激得臉紅脖子粗，李眉蓁一下節目，再猛酸王浩宇：「王浩宇查過資料來問，像我後來反問他也答不出來啊，如果大家要問這麼細的話，我覺得他就是有點故意。」李眉蓁北上錄節目，想打網路戰，替選情加分，節目這段即時測驗，又引發討論。,green
快新聞／李眉蓁高雄隨堂考被問倒 陳其邁：建議她多跑行程,高雄市長補選倒數17天，國民黨候選人李眉蓁今日到台北參加網路節目錄影，桃園市議員王浩宇詢問她高雄行政區、區域人口等問題，李眉蓁都答錯。李眉蓁今日下午受訪時表示，王浩宇問這麼細有點「故意」，民進黨候選人陳其邁則說，可能是李眉蓁跟原高雄縣比較不熟，建議她多跑行程了解每個行政區。李眉蓁今天上節目，被王浩宇問到「高雄市有幾個行政區？」、「高雄最北、最南的行政區是哪裡？」、「哪個行政區的人口最多？」，李眉蓁答出高雄有38個行政區，但其他問題都回答錯誤。李眉蓁事後受訪時喊冤，指出王浩宇是查過資料才去問她。李眉蓁表示，後來她反問王浩宇桃園的問題，他也答不出來，「問這麼細他就是有點故意。」陳其邁下午出席第五戰區後援總會成立大會，活動前受訪時被問到王浩宇向李眉蓁提出的問題，陳其邁立刻說這是「common sense（常識）」。陳其邁提到，高雄最北行政區是桃源、最南是林園，人口最少的是茂林、最多的是鳳山。陳其邁認為，李眉蓁答錯，大概是因為她對原來的高雄縣比較不熟，也可能是她還沒跑完高雄38個區。陳其邁表示，高雄幅員遼闊，跑完很辛苦，但還是建議李眉蓁可以多跑跑。對於李眉蓁認為王浩宇問得太細，陳其邁則說，前市長韓國瑜也不是很清楚林園有幾個漁港，但至少他跑高雄「看起來比李眉蓁更勤快」。,green
快新聞／楊秋興自爆會投給他 陳其邁：任何人支持都非常感謝,前高雄縣長楊秋興日前自爆，這次高雄市長補選人會投給民進黨候選人陳其邁，陳其邁今天表示，任何人支持都非常感謝，未來推動市政也會努力爭取不分黨派選民的支持。2018年高雄市長選舉，楊秋興大力支持國民黨的韓國瑜，但選後不滿韓國瑜選總統，轉而積極霸韓，楊秋興日前接受媒體專訪，他表示，陳其邁歷練最夠，他是選人不選黨。對此，陳其邁今天受訪回應，上次楊秋興縣長支持韓國瑜，後來積極罷韓，他對整個過去一年多市政部分有一些看法，「任何人支持我們都非常感謝，我們也認為，市長選舉尤其是在城市推動，我們都希望聚焦在市政的政見跟市政推動政策，未來推動市政也會努力爭取不分黨派選民的支持」。,green
快新聞／罷韓備用連署書全焚毀 Wecare高雄：選票可否定「只會辱罵高雄的國民黨」,罷免高雄市長韓國瑜案6月6日順利投開票，以93萬9090票過關，韓國瑜成為中華民國地方自治史上第1個遭提案罷免成功的直轄市長。Wecare高雄晚間表示，第一階段、第二階段的備用連署書今晚已送焚化爐焚毀，「手上的神聖選票，可以決定城市更好的未來，更可以否定一個看不起高雄、只會辱罵高雄的國民黨」。Wecare高雄晚間在臉書發文說，感謝大家罷免路上的支持與相挺，在被罷免方提起訴訟的相關法規規定日後，Wecare高雄、台灣基進、光復高雄總部內所有的第一階段、第二階段備用連署書（為預防審核未通過與訴訟等做為補件運用的連署書），今天在罷免提案法定領銜人陳冠榮、Wecare高雄發起人尹立、台灣基進張博洋主任、律師代表的見證下，由志工夥伴協助搬運，全數送入焚化爐焚毀。「罷免的一切在今天劃下休止符，接下來，這座城市的美好未來，要靠大家明智的決定。」Wecare高雄強調，請大家不要放棄做出決定的機會，手上的神聖選票，可以決定城市更好的未來，「更可以否定一個看不起高雄、只會辱罵高雄的國民黨」。文章提到，不然抄襲論文、罵罷免跟補選浪費錢的李眉蓁，還是可以透過選舉補助款入袋千萬我們的納稅錢。Wecare高雄在文末呼籲：「為了高雄、為了台灣，讓我們把握每次做決定的機會。」貼文一出引起網友討論，紛紛在底下留言說「辛苦了 大家都會知道被詐騙之苦 勞記在心」、「一起加油讓高雄變美麗」、「謝謝你們對高雄的愛」、「謝謝你們，謝謝勇敢出來投下同意罷免的高雄市民」。,green
陳其邁民調碾壓對手！賴清德力挺喊「未來市長」,高雄市長補選候選人陳其邁上午出席數位國力論壇，副總統賴清德也現身，當場稱呼陳其邁是「未來市長」，下午陳其邁繼續第六戰區的後援會成立大會，上千支持者到場，展現高人氣。根據一份最新民調，會去投票的高雄市民當中，陳其邁支持度55%，居高不下，跟李眉蓁的21%差距3成以上。副總統賴清德南下高雄，出席數位國力交流會議，身旁有市長補選候選人陳其邁、台南市長黃偉哲、屏東縣長潘孟安，四大巨頭合體。賴清德說「今天來主要是參加大型產業交流的會議，南部縣市長跟未來市長都到了，我們希望大家一起來，能夠達到目標」，「未來市長」說出口，想必對陳其邁信心十足。第六戰區後援會成立大會，上千位支持者到場歡呼，可見陳其邁人氣很高。根據一份最新民調，會去投票的高雄市民當中，支持陳其邁的高達55%，李眉蓁21%，民眾黨徵召的吳益政只有5%，其中19%沒有表態，看來論文風波對民調影響不大，陳其邁和李眉蓁維持3成以上差距，邁邁支持度仍然居高不下。民調數字讓候選人繃緊神經，陳其邁日前接受網路專訪，提到前市長韓國瑜許多政策中，除了路平會延續的更有品質外，其他不切實際的打算喊卡。陳其邁表示「我的個性不太喜歡喊口號啦，但是政策一定要務實可行，韓市長在選的時候，挖石油又天馬行空的政策，其實有一些韓市長上任後，他也知道推動不太下去」。李眉蓁說，「說的比做的容易所以未來如果說，希望他不要說一口好話，那我們真的持續再做，我如果當市長的話，這一些我們會延續的做下去，現在大家有看到本來就做的很好。」李眉蓁就是跟陳其邁唱反調。現在還傳出韓國瑜陣營可能在8、9月展開全台謝票行程，這是要為復出先暖身嗎？陳其邁表示，「我以為你說6月6日他要謝票，還搞不太清楚，韓市長很多的想法，都會突然這種想到做什麼事情，我沒有辦法去預估他要做什麼事情。」但若韓國瑜要順勢角逐國民黨黨魁，恐怕江啟臣有壓力？畢竟李眉蓁民調落後、論文風波尚未平息，加上高雄市議長補選勝算難定奪，市長補選一輸，江主席寶座可能難保。,green
劍指2024總統大位？侯友宜：不一定要連任市長,新北市長侯友宜，向來施政滿意度名列前茅，接受平面媒體專訪時，卻自爆「不一定要連任」，被解讀難道是想直攻2024總統大位？侯友宜雖然解釋，他的意思是想連任會有選票壓力，把事情做好才重要，但資深媒體人認為，侯友宜已經展現更上一層的企圖心，因為有韓國瑜帶職參選慘敗的前車之鑑，才拋出可能2022不選連任的風向球。主持新北市府道安會報，侯友宜聚精會神，他在接受平面媒體專訪時自己提到，新北市才是北台灣火車頭，因為市民「用腳投票」，從台北市搬來的人越來越多，從2018朱立倫時代的4萬多人，到去年侯友宜任內，成長為5萬多人，讓新北總人口突破402萬。但最新統籌分配款，新北人均預算卻吊車尾，侯友宜連日來向中央喊話，他表示，「整個財源上大家都有很多苦衷，我相信將心比心，不要老是人均預算是最少的，讓我施政起來，確實會碰到比較多辛苦一面。」行政院長蘇貞昌回應，「當家方知柴米貴，當家的人都嫌錢不夠用，不過 資源總是有限，我們會盡量用在最急迫的地方上。」為市民爭取再爭取，侯友宜不僅在遠見縣市首長評比中拿下五星殊榮，也在近期民調中，拿下六都首長滿意度第一，但他卻說，不一定要連任，被聯想難道是想直攻2024總統大位？侯友宜說，「你如果一直想要連任，你一定有選票的壓力，切記事情做好才最重要，完全不要去考慮政治的問題，考慮選舉的問題。」下一步怎麼走，侯友宜雖然面對鏡頭賣關子，但外界解讀他有兩套劇本，可能2022競選連任，2024再攻總統，或是2022乾脆不選連任，2024直攻總統大位。資深媒體人陳東豪指出，「如果任期沒做完，就跑去選其他職務的，通常結果都不是很好，所以侯友宜如果要想2024，那麼他應不應該選2022，他應該不應該連任新北市長，他在韓國瑜選總統過程當中，他是冷處理的 他必須要做處理，否則他就會有障礙，就是你沒有跟國民黨同甘共苦。」資深媒體人分析，侯友宜確實是國民黨內，最能吸納藍綠票源的明日之星，但軟肋就是過去對韓國瑜冷處理，讓韓粉不滿，如果這回南下輔選李眉蓁，又進而爭取國民黨主席大位，進軍2024的企圖，就盡在不言中。,green
快新聞／統籌分配獨厚高雄？ 蘇貞昌批「錯誤傳遞」：補助是不分黨派！,行政院長蘇貞昌日前宣布核定高雄4000億元投資及補助案，讓新北市長侯友宜大嘆「好羨慕」、桃園市長鄭文燦喊統籌分配「六都最少」。蘇貞昌今天表示，「希望大家聽清楚不要錯誤傳遞」。他強調，有2千億是前高雄市長韓國瑜擔任市長時所核定，顯見「補助是不分黨派」。2019年六都統籌分配稅款，台北市437億元，新北330億元，桃園、台中、台南各有200多億，而高雄310億。新北市統籌稅款六都排第2，跟去年比更增加超過20億，增加的幅度六都最多。不過，新北市人口也最多，因此平均每人分配金額，相較於台北市的1萬6300元，高雄的1萬1200元，新北市僅有8200元，在六都中吊車尾。蘇貞昌表示，閒錢不夠這心情「我完全能體諒」，因為他擔任縣長時，一路從台灣最南端的屏東縣當到台灣最北端的台北縣，「縣市長辛苦我很清楚」。「當家方知柴米貴！」蘇貞昌說，縣市長抱怨錢不夠用，如同當家閒錢不夠用，但中央政府必須從方方面面來補助，特別是這些年來補助地方的錢，經費上統籌分配稅款大餅都比過去增加。蘇貞昌解釋，除了看統籌分配稅款外，還得看各項重大建設補助，例如學校裝冷氣，中央就補助7至9成不等。另一方面，上週他前往高雄演講核定高雄4千億，希望大家聽清楚不要錯誤傳遞。蘇貞昌指出，4千億中，因台商回台投資超過上兆，其中有2千億分配在高雄，另外2千億是前高雄市長韓國瑜擔任市長時核定，顯見「補助是不分黨派」，尤其在各地方積極爭取台商回來、外資投資等，都希望地方縣市長大家一起努力，中央會把各方面資源盡量來支持，畢竟資源總是有限，當然希望盡量用在最急迫的地方。,green
傳韓國瑜8月全台謝票 陳其邁酸：為罷免謝票？,高雄市長補選候選人陳其邁，今天（7月28日）以立委最高顧問的身分出席數位國力論壇，副總統賴清德也現身，包括台南市長黃偉哲、屏東縣長潘孟安，四大巨頭合體，傳出韓國瑜陣營可能在8、9月展開全台謝票行程，外界質疑是為了爭黨主席而暖身，陳其邁卻開玩笑說「是為6月6日罷免謝票嗎？」副總統賴清德南下高雄展覽館，出席國會數位國力交流會議，身旁有高雄市長補選候選人陳其邁、台南市長黃偉哲、屏東縣長潘孟安，四大巨頭合體，還有在地立委到齊，陣仗龐大，但這可不是選舉造勢。賴清德表示：「今天來主要是參加這個，大型產業交流的會議，南部的縣市長跟未來的市長都到了，我們希望大家一起來，能夠達到目標。」台上賴清德跟陳其邁，兩人互動好、悄悄話多，是在聊選情嗎？但何時真的來高雄幫陳其邁輔選，賴清德沒鬆口。日前陳其邁接受網紅志祺七七的專訪，談到前市長韓國瑜許多政策，像是挖石油、摩天輪和滿天星計畫等，陳其邁坦言，會停止執行。陳其邁說：「我的個性不太喜歡說喊口號啦，但是政策一定要務實可行，韓市長在選的時候挖石油等等，又天馬行空的政策，其實有一些韓市長上任後，他也知道說推動不太下去。」對手李眉蓁則表示：「說的比做的容易，所以未來如果說，希望他不要說一口好話，那我們真的持續在做，我如果當市長的話，這一些我們會延續的做下去，現在大家有看到，本來就做的很好。」現在還傳出，韓國瑜陣營規劃在8、9月，展開全台謝票行程，這是要為復出先暖身嗎？陳其邁說：「我以為你說六月六號他要謝票，還搞不太清楚韓市長很多的想法，都會突然這種想到做什麼事情，我沒有辦法去預估他要做什麼事情。」陳其邁幽默酸了一下，但若全台謝票是要順勢角逐國民黨黨魁，恐怕讓江啟臣、朱立倫有壓力了！？但確定的是，韓國瑜至今都還沒現身幫李眉蓁站台。李眉蓁出席教育政見說明會，和民眾黨徵召的候選人吳益政，同台亮相，兩人握手致意。李眉蓁不再談論文風波，行程明顯減少，也很關心婆婆致詞遭抨擊的情緒，而吳益政拚市政，強調自己民調，是三位候選人中唯一支持度緩緩上升的，對自己有信心。,green
罷捷連署第一階段達標 民眾批：報復性罷免,罷韓通過之後，掀起一系列罷免潮，現在罷免議員黃捷連署，已經超過27000份，第一階段門檻是2900份，已經達標，罷捷團體預計7月31日，就會北上中選會遞件審查，更號召民眾包下兩輛遊覽車，一同北上送件。志工忙著整理造冊，不時還有民眾來交連署書，罷捷連署第一階段達標，預計7月31日就會將連署書送交中選會審查。罷捷總部發言人徐尚賢表示，「我們7月31日那天我們預計從高雄，會有兩輛遊覽車左右的人數一起北上，那相信還有中北部的好朋友們，都會願意到中央選舉委員會共襄盛舉，我們來宣示。」連署書即將送件，罷捷團體滿心期待，更包下兩台遊覽車，號召民眾一同北上，罷捷連署第一階段門檻2900份，罷捷總部保險起見，預計會送件3000份，第二階段門檻29000份，罷捷總部目前收到超過27000份，有信心達標。徐尚賢指出，「第二階段我們目前，我們推估大概應該接近3萬份，但是我們來是要面臨到中選會有可能剔除，所以我們不會說我們達標，我們繼續努力希望把第二階段份數，我們可以把它累積到35000份，甚至40000份左右。」罷免送件在即，只表示尊重，目前專注市政，平常心看待，但支持者卻替她抱不平，民眾說，「韓粉報復性想要去做這件事而已，因為我覺得黃捷真的有在做事」、「韓國瑜是高雄市民對他有抱怨，那黃捷有做錯什麼嗎？所以罷免她等於是非顛倒啊！」,green
