title,content,answer
王浩宇批國民黨害了高雄 謝龍介氣炸：韓國瑜破70年紀錄,國民黨高雄市長補選候選人李眉蓁和台南市議員謝龍介、民進黨桃園市議員王浩宇等今上網路直播節目，討論高雄選情。謝龍介表示，前高雄市長韓國瑜在短短1年半，鋪了6百條道路，打破台灣民主自治史70年紀錄。《YAHOO TV》網路直播節目「鄉民大會」今29日邀李眉蓁、謝龍介、王浩宇、資深媒體人黃暐瀚、民眾黨公關長吳怡萱等人，共同探討高雄補選議題，且由郭子乾擔任節目主持人。王浩宇批評「國民黨3、40年前把石化業集中放在高雄，才造成今天空氣品質的問題」，謝龍介駁斥，「高雄空氣差跟石化沒關係，石化業減排的減排，搬的搬，現在是民進黨要上台，高雄市永安區燒土炭風化爐硬燒，空汙廢棄排放一支抵台中火力發電廠的煙囪四、五支，過去國民黨做的補救已經很多了」。郭子乾說，用一句台語俚語形容民進黨的情況就是，「嘴念經，手矇拎，腳踏查某間(台語)」(形容一個人言行不一，道貌岸然)。在場的謝龍介還說，王浩宇想當全國不分區議員，他就應該要出來選不分區，他(謝)還會支持他，更開轟王浩宇，自己當李眉蓁發言人是站關心高雄的立場，要王浩宇「自己的小孩放屁就正在長，別人的小孩放屁就腸子在爛(台語)」，怒嗆他「永遠兩套標準」。對於韓國瑜，謝龍介也說，在韓被罷免前，疫情爆發，中央開始封鎖，到現在放「無薪假」4、5萬人，整個都崩盤了，包括今年畢業的年輕人要找工作都很拚，他要王浩宇，「不要用一棵樹，在評論一片樹林(台語)」，既然要檢討就全國一起檢討，不要只挑高雄，過去民進黨執政20多年，才造成高雄現在這些問題。謝龍介也大讚韓國瑜，在70年的台灣民主自治史，沒一個縣市長在1年6個月中，鋪6百條道路，這真的是第一名，過去的前高雄市長蘇南成也都沒韓國瑜多。(中時新聞網)中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
拔韓國瑜滿天星計畫 民進黨邁趨保留,民進黨高雄市長補選候選人陳其邁昨日上網紅節目，表示等他上任後，將終止前市長韓國瑜推動的滿天星計畫；對手國民黨李眉蓁、民眾黨吳益政卻都認為，讓高雄孩子和國際接軌、送公務員再進修非常重要，好的政策應該延續。韓國瑜競選總統期間，政見之一是補助年輕人出國當交換生，落選後回到高雄市府，仍指示教育局動用教育基金，規畫每年補助每人2萬美元，以及台幣10萬元來回機票的「滿天星計畫」，受疫情影響時程延後，但目前已在複審階段。不切實際打掉重練陳其邁27日上網紅「志祺七七」節目，針對滿天星計畫表示，一個人補助美元2萬、3萬，財政負擔重，韓市長自己也做不下去，他上任後會把不具可行性、不切實際的政策打掉重練，把資源投注到較重要的地方。然而昨日他接受媒體聯訪，記者問他是否取消滿天星計畫、愛情摩天輪建設，陳其邁說法轉趨保留，並未明確回答滿天星計畫會不會終止，僅強調8月15日後會針對這些延續性政策通盤檢討。李眉蓁昨日前往高雄市教師職業工會，花15分鐘說明教育政見，強調她身為一位媽媽，很重視孩子的未來；她認為，高雄小孩子一定要跟國際接軌，好的政策一定會持續，因此若她當選，絕對會延續韓國瑜推動的滿天星計畫。公務員取經很重要「我全力支持滿天星計畫！」吳益政指出，除了協助學生出國，公務人員在職期間，再教育也非常重要。像他先前推動公共腳踏車，講半天公務員仍不見得懂，帶他們考察一次國外自行車環境回來之後，在法規設計上一下子就到位。吳益政說，補助學生、公務員出國是很便宜又好的投資，尤其鼓勵公務員有目的出國考察，是對城市發展轉型非常重要的工作，「陳其邁認為這個浪費錢，我的觀點跟他完全不一樣」。中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
韓國瑜要全台謝票了？ 陳揮文大笑搖頭：誰講的,前高雄市長韓國瑜遭罷免後，動向持續受到外界關注，他曾在臉書向大家宣布，會暫時沈澱休息，不會接受任何邀請或職務，而他本月中則是被民眾目擊和兒子、女兒一起現身高鐵雲林站，讓不少韓粉都留言喊想念他。過去韓國瑜一度傳出將規劃全台巡迴謝票，但遭團隊出面駁斥，然而昨(28日)有知情人士指出，韓營仍在規劃謝票一事，對此，資深媒體人陳揮文則是大笑又搖頭地質問，「是誰講的」。韓國瑜自從7日在臉書貼文，針對黨內派出議員李眉蓁參加高雄市長補選一事做出回應，表示「國民黨上下團結一致，支持眉蓁議員當選，這個目標無庸置疑。但在整個人選提名過程中我並未參與，也籲請媒體報導前務必先查核事實。」隨後並沒有再更新貼文。不過，外界都相當好奇未來韓國瑜的下一步動向為何，據《鏡週刊》報導，知情人士透露，該知情人士表示，韓陣營目前仍規劃在8、9月間展開全台「謝票」行程，疑似為復出暖身，但近日他仍未承諾現身公開替李眉蓁站台，因此，未來是否順勢競逐黨主席，也還未有答案。針對此消息，陳揮文昨(28日)在廣播節目「飛碟晚餐陳揮文時間」中則是先大笑，接著嘆氣地說，不應該這樣子，知道新聞很難跑，有交稿壓力，但是記者不是這樣，他忍不住抨擊，「誰講的?講的國民黨知情人士是誰?江啟臣?郝龍斌?謝龍介?誰跟你說的，是韓國瑜還是李佳芬說的嗎?這樣實在不行...」。(中時新聞網)中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
雖遭罷免 網曝排行榜驚呼韓國瑜這項實力仍在！,前高雄市長韓國瑜遭罷免後，目前持續沉澱中，不過韓在臉書的文章，仍有一萬多人按讚並持續關注韓的下一步。臉書粉絲專頁「聲量看政治」列出全台政治Youtuber排名，韓仍排名第五，該粉專寫道「韓國瑜雖已被罷免，但由於Youtube頻道經營堅強，網路實力仍在」。韓國瑜罷免案過關，總投票率達42.14％，其中93萬9090票同意罷免韓國瑜。韓國瑜成為首位被罷免的直轄市長，令許多支持韓的民眾痛心。對於罷免結果，韓國瑜表示，感謝市民給他機會、感謝團隊的努力，也很遺憾民進黨第2次執政以來，花所有心思幾乎全部集中在罷韓國家隊，全力攻打韓國瑜的人。遺憾團隊政績被抹黑造謠、遺憾還有好多工作沒完成，他最後並祝福高雄市成為偉大光明、開朗復甦的城市。臉書粉絲專頁「聲量看政治」昨貼出全台政治Youtuber排名，其中韓國瑜仍排名第五，可見其網路實力仍堅強。該粉專提及，目前為止，台灣排名前五大的政治人物Youtuber，第一名為台北市議員邱威傑（呱吉），訂閱人數：572,000人、觀看次數86,239,006人次。第二名則為台北市長柯文哲，訂閱人數：451,000人、觀看次數37,274,263人次。第三名是總統蔡英文，訂閱人數：385,000人、觀看次數28,359,161人次。第四名是台灣基進黨立委陳柏惟，訂閱人數：190,000人、觀看次數24,943,835人次。值得注意的是，第五名為韓國瑜官方頻道，訂閱人數：156,000人、觀看次數14,595,993人次。該粉專提及，韓國瑜雖已被罷免，但由於Youtube頻道經營堅強，網路實力仍在。(中時新聞網)中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
韓國瑜要回來了？！知情人士曝下一步 朱立倫恐陷困境,前高雄市長韓國瑜遭罷免後，一度傳出將規劃全台巡迴謝票，但遭高雄市政府前新聞局長鄭照新出面駁斥。不過，知情人士指出，韓營仍在規劃謝票一事，疑似為復出暖身，若韓真重出江湖，勢必影響局勢。韓國瑜目前仍在沉潛，日前被民眾直擊出現在高鐵雲林站，身邊還有女兒韓冰、兒子韓天，感覺起來精神相當不錯。目前韓國瑜並未透露下一步計畫，是否角逐下一任國民黨主席也引發高度關注，據《鏡週刊》報導，知情人士透露，韓營正規劃8、9月開始全台謝票，擬為復出打頭陣，但日前韓國瑜出面反駁有關提名高雄市長補選候選人李眉蓁一事，且是否為李眉蓁站台也未有明確答案，是否競逐黨主席也還未可知。根據黨務人士觀察，挺韓勢力並未瓦解，只要韓國瑜站出來號召，深藍歸隊，將不利江啟臣及朱立倫。挺朱人士坦言，朱立倫的困境在於韓要不要選黨主席，若韓真的重出江湖，勢必會成為朱立倫最大對手。(中時新聞網)中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
韓國瑜哪些政策會停止？陳其邁點名：太平島挖石油、滿天星計畫,民進黨高雄市長補選候選人陳其邁，接受網紅「志祺七七」的專訪，對於前高雄市長韓國瑜的政策問題，陳其邁表示，路平等一些基礎設施政策都會延續，而且他的道路品質會比韓國瑜更好，至於太平島挖石油和滿天星計畫這些天馬行空政策就會停止執行。對於韓國瑜的路平政策，陳其邁表示，他在2018年選舉時也提過路平，路要把它弄平，不是把柏油重新鋪上去，問題就得到解決。陳更承諾，他的道路品質，一定要比韓國瑜好，而且耐用！所以即使是韓國瑜的政策，但是以他做事情的龜毛個性來看，一定會要求品質，也會找一個副市長，訂出一個路平做法的標準來，以後就照個標準來實行。此時，主持人又問說，「有沒有哪些事做到一半，你可能會終止的，或者是你又要怎麼處理這些中斷的政策」？ 陳其邁直言，他認為南海太平島挖石油完全不具可行性，他會砍掉。另外像是滿天星計畫、就是補助大學生和公務員出國，但是一個人要兩三萬，財政負擔過大，連韓國瑜自己都做不下去。當主持人問到韓國瑜最大差別在哪時？陳其邁坦言，他不會說那種不切實際的話語，像南海挖石油，或者是摩天輪，他做的事情和說過的話，都是實實在在的，這就是他的風格。陳其邁強調，他在行政院有工作一年多的時間，就在協助台灣科技產業的發展，以及解決青年就業的相關問題，他都有經驗，因此他知道政策和國家的願景，他也知道如何去整合和國際大廠合作的機會，所以解決問題的方式，他相信這個才是一個好的高雄市長具備的一個條件。且他要制定政策時，都會把政策執行想清楚，他才會去提出施政的願景。(中時新聞網)中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
李眉蓁最新估票驚人！江啟臣壓力大 藍暗拱這2人選黨主席,高雄市長補選，國民黨候選人李眉蓁論文涉抄襲引發爭議，恐影響選情，一名黨內高層直言，李眉蓁要守住高雄3成選票，恐怕機會渺茫。而此事也讓黨內的「倒江」聲浪高漲，各派人馬轉而拱朱立倫、馬英九角逐明年黨主席，8月15日高雄補選結束後，國民黨內恐再掀風暴。李眉蓁陷論文風波，25日競選總部成立大會，她表示自己知名度沒有對手陳其邁高，但因論文成了知名度最高、媒體版面最多的人，強調「我的學歷不重要，重要的是高雄的未來！」而身為一個母親，她必須以身作則，「我不要我的小孩以後做錯事情，用硬凹的，我希望我的小孩以後可以知錯能改」。據《鏡週刊》報導，李眉蓁爆發論文爭議時，江啟臣的危機處理進退失據，引發黨內「倒江」聲浪高漲，認為黨中央在第一時間未妥善處理，讓李眉蓁在記者會上荒腔走板，影響選情。而競選總部成立大會，站台的藍營大咖僅朱立倫、洪秀柱、王金平3人，14位藍營縣市首長只有花蓮縣長徐榛蔚出席，立委也只來了一半，從江啟臣說，8月15日的選舉是所有國民黨的事，就可看出輔選的壓力。黨內高層透露，李眉蓁要守住3成選票恐機會渺茫，如今只能先保7月31日議長補選順利。另外週刊調查，隨著江啟臣即將下台，各路人馬也暗地轉而力挺前主席朱立倫、前總統馬英九，可以看出江啟臣連任之路趨於悲觀，對於韓國瑜是否重出江湖影響大局，黨內人士只希望「罷韓後遺症」不要再延燒。(中時新聞網)中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
王彩樺大女兒辣舞片正爆曝光 「中空裝露小蠻腰」撞臉子瑜, 一早陪大公主梳化🥰 去排練☺️ 晚上成果發表會☺️ 圓滿❤️ #最近大公主念書 #補習 #準備學測 #每天看書 #今天總算表演告一個段落 #辛苦了 #加油 #媽媽任務完成 #謝謝老師謝謝大家❤️ 王彩樺（@lotuswang1124）分享的貼文 於 PDT 2020 年 7月 月 27 日 上午 6:59 張貼王彩樺與老公黃品文結婚近20年，育有2女，然而吾家有女初長成，她近日在社群網站曝光大女兒黃於庭（庭庭）參加成果發表會的熱舞影片，激似韓國當紅女團TWICE台灣成員周子瑜的甜美臉蛋，令網友驚為天人！王彩樺與女兒感情好，近日更特地起大早，陪著大女兒排練，晚上參加成果發表會，說完還不忘PO出女兒熱舞影片與粉絲分享。影片中只見王彩樺女兒穿著中空裙裝辣露小蠻腰，性感撩人舞姿吸爆觀眾眼球，台下尖叫聲不斷，甚至還被網友發現其美貌乍看與子瑜有些神似。其實還在就讀高中的黃於庭，去年就曾與媽媽一同入鏡，為新人黃昺翔拍攝新歌《甜不辣》MV，當時她的清純美貌還引發網友一陣討論。而王彩樺被問起有無想讓女兒出道，她直言：「現階段先把書讀好再說！」(中時新聞網)中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
和韓國瑜最大不同是什麼？陳其邁兩點回應,民進黨高雄市長補選候選人陳其邁，接受網紅「志祺七七」的專訪，當主持人問和前高雄市長韓國瑜最大不同之處是什麼時，陳其邁表示，第一是不說不切實際的話，其次就是他有執政經驗。當主持人問到韓國瑜最大差別在哪時？陳其邁坦言，他不會說那種不切實際的話語，像南海挖石油，或者是摩天輪，他做的事情和說過的話，都是實實在在的，這就是他的風格。陳其邁強調，他在行政院有工作一年多的時間，就在協助台灣科技產業的發展，以及解決青年就業的相關問題，他都有經驗，因此他知道政策和國家的願景，他也知道如何去整合和國際大廠合作的機會，所以解決問題的方式，他相信這個才是一個好的高雄市長具備的一個條件。且他要制定政策時，都會把政策執行想清楚，他才會去提出施政的願景。陳其邁更表示，他非常清楚現在青年就業、產業轉型和空汙防治以及完善的交通系統是對高雄最重要的，他上任後要趕快解決和建設的。(中時新聞網)中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
延續路平政策 陳其邁承諾「道路品質」：要比韓國瑜好,民進黨高雄市長補選候選人陳其邁，接受網紅「志祺七七」的專訪，對於前高雄市長韓國瑜的政策問題，陳其邁表示，路平等一些基礎設施政策都會延續，而且他的道路品質會比韓國瑜更好，至於太平島挖石油和滿天星計畫這些天馬行空政策就會停止執行。對於韓國瑜的路平政策，陳其邁表示，他在2018年選舉時也提過路平，路要把它弄平，不是把柏油重新鋪上去，問題就得到解決。高雄的路為什麼不平？因為大卡車和貨櫃車很多，所以一條大馬路，大卡車碾壓幾次，且柏油鋪得又薄，卡車一壓過去就壞掉了！所以他會去盤點一次，有些路段要鋪水泥，或者是地下要放大石頭，讓地基較穩。陳更承諾，他的道路品質，一定要比韓國瑜好，而且耐用！陳其邁接著表示，這樣才能讓一些關鍵路段不要一挖再挖，否則每次都在鋪柏油，選舉都還是在講路平，所以他希望，路平一定要定一個標準，假如用日本東京的道路標準，來鋪設柏油或者是改善路面，道路才會變好。所以即使是韓國瑜的政策，但是以他做事情的龜毛個性來看，一定會要求品質，也會找一個副市長，訂出一個路平做法的標準來，以後就照個標準來實行。此時，主持人又問說，「有沒有哪些事做到一半，你可能會中止的，或者是你又要怎麼處理這些中斷的政策」？ 陳其邁直言，他認為南海太平島挖石油完全不具可行性，他會砍掉。另外像是滿天星計畫、就是補助大學生和公務員出國，但是一個人要兩三萬，財政負擔過大，連韓國瑜自己都做不下去。(旺報 )中時新聞網對留言系統使用者發布的文字、圖片或檔案保有片面修改或移除的權利。當使用者使用本網站留言服務時，表示已詳細閱讀並完全了解，且同意配合下述規定：違反上述規定者，中時新聞網有權刪除留言，或者直接封鎖帳號！請使用者在發言前，務必先閱讀留言板規則，謝謝配合。,blue
