title,content,answer
醫院證實李登輝“身體狀況不理想”，蔡英文、賴清德等前往探視,【環球時報特約記者 張天行】臺灣地區前領導人李登輝28日深夜傳出病情惡化的消息，綠營政客29日先後去醫院探視，引發諸多聯想。據臺灣“中央社”29日報道，李登輝今年2月8日晚間在家中由護理師測量血壓、血糖後，喝牛奶補充營養，卻因喝得太快嗆到咳不停，緊急送往臺北榮民總醫院（榮總）發現肺部浸潤，住院將近半年，28日深夜突然傳出病情惡化及拔管去世的消息。29日凌晨，“臺聯黨”在臉書發文澄清，有名嘴也在臉書撤下李登輝死亡的消息，但一大早榮總門口仍聚集大批媒體守候。聯合新聞網稱，“副總統”賴清德29日取消上午行程，改赴醫院探視李登輝，接着蔡英文和“行政院長”蘇貞昌也到醫院，隨後又傳出李登輝妻子曾文惠上午11時在看護與隨從陪同下抵達榮總的消息，“引發外界諸多聯想”。榮總29日上午稱，李登輝的身體狀況確實不理想，但仍在醫院接受治療，還不到外界傳聞的程度；由於家屬未授權，無法針對病情做進一步說明。李登輝辦公室主任王燕軍發表三點聲明稱，蔡英文、賴清德及蘇貞昌確實在29日上午探視李登輝；相關信息均由“總統府”發言人統一對外說明；有關病情由榮總以新聞稿對外公開。陳水扁還在29日接受採訪時透露，上次拜訪李登輝是在兩年前的1月，當時李的身體狀況就已大不如前，之後他就沒有再前往探視。李登輝出生於1923年1月，在日本殖民時期的“皇民化運動”中曾改名巖裏政男；早期爲臺灣的農業經濟學者，曾任臺大教授，1972年投身政界，歷任臺北市長、“臺灣省主席”及“副總統”等職，1988年蔣經國去世後繼任臺灣地區領導人及國民黨主席；1990年及1996年先後當選第八任、第九任臺灣地區領導人，任內拋出“兩國論”，導致兩岸關係惡化。2000年李登輝因選舉失利卸任，2001年9月爲新成立的“臺聯黨”候選人站臺，正式被國民黨撤銷黨籍。李登輝上任之初，曾在1991年通過“國家統一綱領”，裏面寫有“臺灣固爲中國一部分，大陸也是中國的一部分”的說法，但他很快背棄了自己的政治理念，1999年7月在接受“德國之聲”錄影採訪時拋出“兩國論”，聲稱“海峽兩岸的關係，是特殊的國與國關係”，導致兩岸關係空前緊張。蔡英文時任“國安會”諮詢委員，是“兩國論”起草小組主要成員。2000年李登輝卸任後，蔡英文又出任陸委會主委，成爲民進黨陳水扁當局的兩岸政策掌舵者。卸任後李登輝繼續鼓吹“臺獨”，聲稱“臺灣是一個主權獨立的國家，它的國號叫作中華民國”。大陸國臺辦此前曾多次強調，“臺獨”是一條走不通的死衚衕，只會給臺灣同胞帶來災難。近年來，李登輝因爲身體原因多次被傳死亡。2018年11月29日，他在家中不慎跌倒，撞到頭部，被緊急送醫，兩個多月後出院返家。,red
韓國瑜準備復出？核心幕僚：目前還沒有重返政壇等規劃,【環球網報道】據臺灣《聯合報》28日報道，最近島內傳出前高雄市長韓國瑜要全臺謝票，來蓄積再復出的能量，對此，高雄市政府前新聞局長鄭照新說，韓國瑜6月卸任後，目前居住在雲林，近期和妻子李佳芬等家人外出旅遊，正沉澱心情，全心全意陪伴家人，很珍惜現況，目前還沒有謝票、重返政壇等規劃。韓國瑜離開高雄市政府後很少露面，據臺灣“鏡週刊”報道，有知情人士稱，韓陣營目前規劃在8、9月間展開全臺“謝票”行程，似乎是爲復出做暖身。《聯合報》報道稱，針對爲何會傳出謝票一說，韓國瑜的核心幕僚說，只要聚會，就出現類似聲音。臺灣“中時電子報”28日稱，日前曾被民衆看到他在高鐵雲林站，身邊還有女兒韓冰、兒子韓天，感覺精神相當不錯。目前韓國瑜並未透露下一步計劃，是否角逐下一任國民黨主席引發高度關注。,red
今年赴臺旅客估減千萬人次 觀光損失相當於6.5棟臺北101大樓造價,今年上半年赴臺旅客較去年同期大減78.9%。（圖片來源：臺灣《聯合報》）中國臺灣網7月28日訊 據臺灣《經濟日報》報道，臺當局觀光部門27日公佈今年上半年赴臺旅客人數統計，受新冠肺炎疫情影響，赴臺旅客僅有126.2萬人次，較去年同期的597.7萬餘人，大幅衰退78.9%。若國際疫情未能緩和，預估全年將較去年大減千萬人次以上。據報道，依據臺觀光部門2018年針對境外旅客赴臺所做的“旅客消費動向調查”顯示，當年赴臺旅客平均每人共消費3萬7345元新臺幣，若今年旅客量狂減千萬人次，臺灣觀光收益損失金額將高達3734.5億元新臺幣，相當於6.5棟臺北101大樓的造價，對航空公司、旅行社、國際觀光飯店、免稅店、機場相關業者、遊覽車業者等，衝擊相當大。統計顯示，今年1月疫情未爆發時，赴臺旅客量近81.3萬人，2月起疫情不斷延燒，赴臺旅客量開始大幅縮減，3月減至7.8萬餘人，4月、5月疫情橫掃全球，各地紛紛採取嚴格的邊境管控措施，導致赴臺旅客人數驟降至二、三千人。臺觀光部門官員分析，國際疫情一天不緩和，國際旅客就不可能赴臺旅遊，有人已預估到年底恐怕都是人出不去、進不來的狀況。若果真如此，今年全年赴臺旅客量恐怕將連135萬都達不到，將較去年的1186.4萬人次，狂減千萬人次以上。（中國臺灣網 李寧）,red
臺灣連續4個月景氣燈號呈“趨弱”,中新社臺北7月27日電 臺當局“發展委員會”27日發佈報告顯示，臺灣6月景氣燈號爲黃藍燈，已連續4個月景氣“趨弱”，綜合判斷分數爲19分，與5月上修值持平。據中時電子報、聯合新聞網報道，6月景氣燈號各項指標中，貨幣總計數M1B由綠燈轉呈黃紅燈，分數增加1分；機械及電機設備進口值由黃紅燈轉呈綠燈，分數減少1分；其餘7項燈號不變。5月景氣燈號綜合判斷分數上修1分，爲19分，系因製造業銷售量燈號增加1分所致。“發展委員會”指，近期全球新冠肺炎疫情再次升溫，主要國家政治經濟衝突持續升高，加劇了國際局勢的震盪，恐將影響全球最終需求，壓抑臺灣對外貿易。但該部門同時稱，臺灣景氣領先指標經回溯修正後呈連續2個月上升；同時指標持續下跌，但6月跌幅較上月略減，均反映出疫情對臺衝擊影響已縮減。(完),red
民進黨有條件開放陸生入境 國民黨：差別對待，損害陸生受教權益,【環球時報記者 張若】民進黨當局一直將陸生排除在開放之列。臺“教育部”22日終於宣佈，23日起所有國家和地區的境外生都可申請入境臺灣，其中包括境外生最大宗的陸生。不過“教育部”同時表示以應屆畢業生爲優先。也就是說，臺灣對陸生的開放仍是有條件的。國民黨發佈新聞稿稱，“針對陸生之入境限制仍具有差別對待，國民黨對此深感遺憾”。國民黨說，自6月中旬境外生可分批返臺至今，民進黨當局仍以政治因素而非防疫專業評估爲考慮，刻意對陸生採取差別對待，設立相比其他地區境外生更高的門檻，已嚴重阻礙陸生返臺就學，損害陸生的受教權益。臺當局宣稱將再增加3533名應屆畢業生入境臺灣。但統計顯示，6月開始陸續鬆綁境外生來臺政策，目前不到500名學生抵臺。近來鮮少高調現聲的島內高等教育龍頭臺大，都忍不住公開發聲，以一紙新聞稿直斥蔡當局口中所謂的“疫情考慮”，實爲“政治考慮”。《聯合報》稱，國際統計顯示過去兩週日本平均每天有350人確診，結果被臺方列爲“中低感染風險”，大陸平均每天一二十人確診，卻不被列爲“中低感染風險”。文章直言，在民進黨的思維裏，大陸未必是疫情高風險，卻是“政治高風險”，爲此把島內大學一起陪葬也在所不惜。,red
臺灣放寬入境政策 部分在臺就讀陸生得以返校,中新社臺北7月22日電 臺灣“流行疫情指揮中心”22日在記者會上說，即日起開放所有境外應屆畢業生返臺完成學業，包括大陸學生。另外，8月1日起開放境外人士申請赴臺就醫。據聯合新聞網、中時電子報、中央社等臺灣媒體報道，臺灣教育主管部門官員在“流行疫情指揮中心”記者會上表示，因應目前檢疫量能提升，22日起將開放所有境外應屆畢業生優先申請來臺，校方可依規定向教育主管部門提出入境申請。6月17日，臺灣首批開放19個國家和地區的境外學生入境，不包含人數最多的大陸學生。據介紹，目前仍在等待返臺的境外學生約1.7萬人，此次預計將有3533名應屆畢業生獲准入臺。所有學生必須依規定在防疫旅館、檢疫場所完成14天居家檢疫，未來將視檢疫狀況再依序放寬其他在學學位生、新生入境臺灣。該中心還提到，臺灣將從8月1日起開放境外人士申請赴臺就醫，包含大陸及港澳人士，但申請將考慮治療必要性、延續性及疫情風險，未必都能獲准。根據過往統計，臺灣每個月約有500至700名境外人士住院治療；一年約8000至9000人，其中約30%來自大陸，7.8%來自港澳，36%來自東盟國家。此外，臺灣居民與大陸配偶所生育的陸籍子女(俗稱“小明”)至今仍有兩千多人無法返臺。“流行疫情指揮中心”本月16日起開放兩歲以下“小明”申請返臺，但目前僅有一名1歲多的幼童隨母親返臺。該中心表示，其他“小明”何時能獲准返臺，還有待相關部門討論。截至22日，臺灣累計新冠肺炎確診病例455例，包含364例境外移入、55例本地病例及36例敦睦艦隊病例。確診病例中7人死亡、440人解除隔離、8人住院隔離中。(完),red
民進黨黨職改選派系爭鬥暗藏洶涌 陳水扁也趁機來攪局,民進黨黨代會19日登場，黨主席蔡英文參與中執委、中評委選舉投票。（圖片來源：臺灣“中時電子報”）中國臺灣網7月20日訊 綜合臺灣《中國時報》《聯合報》報道，民進黨19日舉行了黨代會，主要進行中執委、中常委、中評委的改選，這是蔡英文回任黨主席後首次主持該會。會上蔡英文除了要求臺立法機構黨團儘快提出黨版所謂“修憲”方向外，也不忘拉擡高雄市長補選候選人陳其邁，但重頭戲依舊是黨職改選，各派系間的爭鬥暗藏洶涌。最終的開票結果顯示，民進黨各派系在30席民進黨中執委中，泛“新潮流系”拿下11席，成爲最大贏家，“英系”拿下6席、“正國會”5席、“海派”3席、“蘇系”2席、“綠色友誼連線”3席。而在黨內最高決策機關的中常委席次中，派系結構則沒有太大變化，意圖擴張勢力的“海派”鎩羽而歸，仍維持1席，“新潮流系”拿下3席，依舊是黨內最大派系。不過，中評委主委的選舉結果卻大爆冷門！原本該萬無一失的“英系”民代陳明文，竟不敵獲得“新潮流系”力挺的前“謝系”民代康裕成。報道稱，以往中評會主委是不會被綠營人士視爲權力競逐目標的，但在民進黨全面執政後，中評委的身價也水漲船高，稱得上是“民進黨的門面”，因此也吸引不少人來爭搶這塊肥肉。這場黨代會預示民進黨各派系間的激烈競爭已無可避免，隨之而來的明槍暗箭也越來越多，而和蔡英文“一直不對付”的陳水扁也藉機挑釁，不僅不顧保外就醫身份，於19日下午公然到場堅持行使民進黨中執委、中評委的投票權，更一度撂話“就算被百般刁難也要去投票”。臺媒認爲，隨着2022及2024的接近，民進黨的接班卡位戰將更赤裸。只要有意競逐大位，恐怕都難閃過無所不在的鬥爭。（中國臺灣網 楊旋）,red
上半年臺資赴大陸投資金額大增逾52%,新華社臺北7月20日電(記者吳濟海、傅雙琪)臺當局經濟主管部門投資審議委員會20日公佈，今年1月至6月核準對大陸投資件數爲245件，同比減少13.12%；覈准投(增)資金額31.7億美元，同比增加52.49%。其中，6月份赴大陸投資件數31件，同比下滑6%；投資金額4.97億美元，同比大增186%。上半年臺資對大陸投資案主要集中於福建、江蘇、山東、廣東及上海，分居前五名；在投資業別上，電子零組件製造業，批發及零售業，計算機、電子產品及光學制品製造業，金融及保險業，化學材料製造業分居前五名。陸資來臺投資方面，今年1月至6月投審會覈准陸資來臺投資件數爲56件，同比減少9.68%；投(增)資金額4955.3萬美元，同比增加4.38%。其中，6月份陸資投資件數爲9件，同比增長50%，投資金額213.3萬美元，下滑89%。自2009年6月30日臺灣方面開放陸資來臺投資以來，臺方累計覈准陸資來臺投資件數爲1427件，覈准投(增)資金額23.35億美元。前三名行業分別爲批發及零售業、電子零組件製造業及銀行業。,red
臺灣6月外銷訂單金額環比增5.4%,中新社臺北7月20日電 臺灣經濟主管部門20日發佈的統計數據顯示，臺灣6月外銷訂單金額爲410億美元，環比增5.4%，同比增6.5%。綜合中央社、臺灣經濟日報即時新聞等報道，統計顯示，今年第二季度，臺灣外銷訂單金額爲1184.2億美元，環比增13.6%，同比增3.1%。臺灣經濟主管部門表示，外銷訂單金額增長主要受惠於半導體高階製程需求強勁，加上國際原材料價格回升，傳統貨品接單普遍較上月增長；與上年同月比較，因遠程商機延續，5G通訊、高效能運算加速發展，帶動信息通信產品及電子產品接單維持高位。按貨品類別分析，信息通信產品因筆記本電腦、平板電腦、服務器、網絡通訊產品及顯卡等設備及其組件需求擴增，加上智能手機訂單增加，致訂單金額同比增17.1%；電子產品同比增23.9%；光學器材同比增3.8%。傳統貨品方面，雖然國際原材料價格回升，有利接單止跌回穩，但受新冠疫情影響，整體市場需求仍趨疲弱，接單仍較上年同月呈負增長。展望未來，該部門表示，5G通訊、高效能運算及人工智能等將持續發展，加上半導體先進製程、遠程商機延續，可望帶動電子及信息通信產品接單持續增強，傳統貨品訂單也可望在國際油價、鋼價回穩下逐步復甦，但具體表現仍受國際疫情、環球貿易影響。(完),red
藍綠陣營一致反對，臺軍“阿帕奇”進駐臺東計劃擱淺,【環球時報報道 記者 張天行】臺軍剛發生戰搜直升機墜毀事故，“陸軍航空特戰指揮部”就爆出計劃在臺東豐年機場興建“陸航豐年基地”，結果引發藍綠陣營的一致反彈。據臺灣《聯合報》19日報道，臺“陸軍航空特戰指揮部”計劃把“陸航豐年基地”作爲直升機及人員輪訓場地。18日，臺東縣政府爲此舉辦“阿帕奇規劃進駐臺東說明會”，邀請地方各界代表及軍方進行討論，結果地方不分藍綠一致反對，希望軍方另覓他處。報道稱，軍方由“陸軍司令部”參謀長陳忠文率隊出席，提出選擇臺東豐年機場除了應對未來臺灣防衛作戰需要外，主要是機場內有41公頃土地爲軍方所有。臺東縣長饒慶鈴清楚表達反對立場，稱空軍志航基地已影響臺東百姓這麼多年，實在搞不懂“陸航”爲何還要選擇周圍都是住宅區的豐年機場。民進黨“立委”劉棹豪要求軍方深刻體會生活在噪音下的痛苦，國民黨“立委”廖國棟還說，志航基地給居民的回饋是零分，所以從志航基地的經驗看，他絕不同意。在強大壓力下，臺“陸軍司令部”19日上午表示，“基於尊重民意併兼顧國防安全，陸軍司令部將持續溝通，在未獲得共識前，此案將暫緩執行”。“剛墜機就辦說明會 居民怎能不憂？”《聯合報》19日評論稱，針對敏感質疑，軍方仍以“機密、不便回答”爲由迴避。民衆沒有聽到能說服他們接受的答案，自然會反彈，“誰希望家裏上空，每天都有軍機起降擾人呢？更何況航特部一架戰搜直升機纔剛發生意外”。《中國時報》19日稱，“阿帕奇”擺在東部，“在戰術上，作戰價值未必比在西部高”。而在戰略方面，兩岸武力不對稱，升高對立不僅無助於臺海安全，而且以對岸解放軍爲假想敵一味地擴張軍武，使“臺灣後山也將因軍事基地密佈，從好山好水成爲火藥庫”。至於軍方提及“災防支持需求”也有討論空間，因爲一旦災害發生，有更適合的“黑鷹”直升機，“阿帕奇”主要功能仍是在戰場上，並非救災專用。文章直言，“阿帕奇”訓練基地遷到臺東，不管是環保、戰術、戰略等均面臨考驗，“軍方應審慎考慮，避免國安、環保雙輸”。,red
